Expedicion,Andinista,Pais,Cumbre,Latitud,Longitud,Fecha
1,1,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,20/01/2014
1,2,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,20/01/2014
1,1,Alemania,Parque San Francisco,-32.688273,-70.380706,17/03/2014
1,2,Alemania,Parque San Francisco,-32.688273,-70.380706,17/03/2014
2,1,Rusia,Nevado Ojos del Salado,-27.1091666,-68.5408333,30/11/2015
2,2,Kazakhstan,Nevado Ojos del Salado,-27.1091666,-68.5408333,30/11/2015
3,1,Argentina,Nevado Ojos del Salado,-27.1091666,-68.5408333,31/05/2014
3,1,Argentina,Nevado Tres Cruces,-27.0833333,-68.7666667,09/12/2014
4,1,USA,Nevado Ojos del Salado,-27.1091666,-68.5408333,13/07/2014
4,2,Inglaterra,Nevado Ojos del Salado,-27.1091666,-68.5408333,13/07/2014
4,3,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,13/07/2014
4,4,Australia,Nevado Ojos del Salado,-27.1091666,-68.5408333,13/07/2014
5,1,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,15/02/2015
6,1,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,01/07/2013
7,1,Bélgica,Torres del Paine: Torre Norte,-50.941552,-73.404732,03/01/2015
7,2,Bélgica,Torres del Paine: Torre Norte,-50.941552,-73.404732,03/01/2015
8,1,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,02/06/2015
8,2,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,02/06/2015
8,3,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,02/06/2015
9,1,Argentina,Torres del Paine: Torre Norte,-50.941552,-73.404732,03/10/2015
10,1,Austria,Volcán Llullaillaco,-24.7206512,-68.5365522,10/09/2014
10,2,Austria,Volcán Llullaillaco,-24.7206512,-68.5365522,10/09/2014
10,3,Austria,Volcán Llullaillaco,-24.7206512,-68.5365522,10/09/2014
10,4,Austria,Volcán Llullaillaco,-24.7206512,-68.5365522,10/09/2014
10,1,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,22/11/2014
10,2,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,22/11/2014
10,3,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,22/11/2014
10,4,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,22/11/2014
11,1,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,20/08/2013
11,2,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,20/08/2013
12,1,Argentina,Nevado Ojos del Salado,-27.1091666,-68.5408333,05/05/2014
12,2,Argentina,Nevado Ojos del Salado,-27.1091666,-68.5408333,05/05/2014
12,1,Argentina,Nevado Tres Cruces,-27.0833333,-68.7666667,27/11/2014
12,2,Argentina,Nevado Tres Cruces,-27.0833333,-68.7666667,27/11/2014
13,1,Argentina,Volcán Tupungato,-36.6236493,-72.0842141,07/08/2014
13,2,Argentina,Volcán Tupungato,-36.6236493,-72.0842141,07/08/2014
14,1,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,15/11/2013
14,2,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,15/11/2013
15,1,Chile,Nevado Ojos del Salado,-27.1091666,-68.5408333,28/11/2013
15,2,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,28/11/2013
16,1,Rusia,Nevado Ojos del Salado,-27.1091666,-68.5408333,19/06/2014
16,2,Rusia,Nevado Ojos del Salado,-27.1091666,-68.5408333,19/06/2014
17,1,Chile,Cerro El Marmolejo,-33.735,-69.8783333,12/02/2013
17,2,Brasil,Cerro El Marmolejo,-33.735,-69.8783333,12/02/2013
17,3,Brasil,Cerro El Marmolejo,-33.735,-69.8783333,12/02/2013
17,4,Brasil,Cerro El Marmolejo,-33.735,-69.8783333,12/02/2013
18,1,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,24/08/2014
18,2,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,24/08/2014
19,1,Canadá,Volcán El Muerto,-27.0666667,-68.4833333,04/03/2014
19,1,Canadá,Nevado Ojos del Salado,-27.1091666,-68.5408333,07/02/2014
19,1,Canadá,Nevado Tres Cruces,-27.0833333,-68.7666667,15/05/2014
20,1,USA,Nevado Ojos del Salado,-27.1091666,-68.5408333,25/09/2015
21,1,Argentina,Volcán El Ermitaño,-26.778676,-68.601771,24/11/2014
21,1,Argentina,Cerro Vicuñas,-27.0214,-68.6189,15/07/2014
21,1,Argentina,Cerro Mulas Muertas,-26.9472222,-68.5105556,03/07/2014
22,1,Austria,Cerro Barrancas Blancas,-28.2333333,-69.0333333,28/05/2015
22,1,Austria,Nevado Ojos del Salado,-27.1091666,-68.5408333,05/12/2015
23,1,Argentina,Nevado Ojos del Salado,-27.1091666,-68.5408333,08/09/2015
24,1,USA,Torres del Paine,-50.941552,-73.404732,29/03/2014
24,2,USA,Torres del Paine,-50.941552,-73.404732,29/03/2014
25,1,Argentina,Nevado Ojos del Salado,-27.1091666,-68.5408333,12/03/2013
26,1,Brasil,Nevado Ojos del Salado,-27.1091666,-68.5408333,07/07/2015
26,2,Argentina,Nevado Ojos del Salado,-27.1091666,-68.5408333,07/07/2015
27,1,Alemania,Cerro El Marmolejo,-33.735,-69.8783333,24/12/2014
27,2,Alemania,Cerro El Marmolejo,-33.735,-69.8783333,24/12/2014
27,3,Alemania,Cerro El Marmolejo,-33.735,-69.8783333,24/12/2014
28,1,USA,Torres del Paine: Torre Central,-50.941552,-73.404732,22/08/2014
29,1,Rusia,Nevado Ojos del Salado,-27.1091666,-68.5408333,31/05/2014
30,1,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,19/06/2014
30,2,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,19/06/2014
30,3,Alemania,Nevado Ojos del Salado,-27.1091666,-68.5408333,19/06/2014
31,1,Suiza,Volcán San Francisco,-33.4943868,-70.5772164,13/07/2013
31,2,Alemania,Volcán San Francisco,-33.4943868,-70.5772164,13/07/2013
32,1,Francia,Volcán San José,-33.7833333,-69.9166667,30/08/2013
32,2,Francia,Volcán San José,-33.7833333,-69.9166667,30/08/2013
32,3,Francia,Volcán San José,-33.7833333,-69.9166667,30/08/2013
33,1,Argentina,Cerro Incahuasi,-31.281825,-64.3086484,15/04/2013
33,2,Suiza,Cerro Incahuasi,-31.281825,-64.3086484,15/04/2013
33,3,Suiza,Cerro Incahuasi,-31.281825,-64.3086484,15/04/2013
33,1,Argentina,Cerro El Fraile,-27.041627,-68.382944,24/09/2013
33,2,Suiza,Cerro El Fraile,-27.041627,-68.382944,24/09/2013
33,3,Suiza,Cerro El Fraile,-27.041627,-68.382944,24/09/2013
33,1,Argentina,Cerro El Muerto,-27.0666667,-68.4833333,18/10/2013
